[0000003906ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003922ns] mycpu : pc = 1c00026c, inst = 298001ac, reg = 00, val = 00001080
[0000003934ns] mycpu : pc = 1c000270, inst = 028011ad, reg = 13, val = 00001084
[0000003954ns] mycpu : pc = 1c000274, inst = 02bffdce, reg = 14, val = ffffffff
[0000003968ns] mycpu : pc = 1c000278, inst = 67fff5c0, reg = 00, val = 00000000
[0000003998ns] mycpu : pc = 1c00027c, inst = 028001ed, reg = 13, val = 00001000
[0000004010ns] mycpu : pc = 1c000280, inst = 2983f1ac, reg = 00, val = 000010fc
[0000004028ns] mycpu : pc = 1c000284, inst = 4c000020, reg = 00, val = 1c000288
[0000004056ns] mycpu : pc = 1c0000ac, inst = 1dc80063, reg = 03, val = 000030ac
[0000004092ns] mycpu : pc = 1c0000b0, inst = 28ae7063, reg = 03, val = 00202cd0
[0000004096ns] mycpu : pc = 1c0000b4, inst = 02bf8063, reg = 03, val = 00202cb0
[0000004108ns] mycpu : pc = 1c0000b8, inst = 1dc8006c, reg = 12, val = 000030b8
[0000004142ns] mycpu : pc = 1c0000bc, inst = 28ae518c, reg = 12, val = 00001500
[0000004146ns] mycpu : pc = 1c0000c0, inst = 1dc8006d, reg = 13, val = 000030c0
[0000004176ns] mycpu : pc = 1c0000c4, inst = 28ab91ad, reg = 13, val = 1c000480
[0000004180ns] mycpu : pc = 1c0000c8, inst = 2980018d, reg = 00, val = 00001500
[0000004186ns] mycpu : pc = 1c0000cc, inst = 1dc8006d, reg = 13, val = 000030cc
[0000004234ns] mycpu : pc = 1c0000d0, inst = 28ab71ad, reg = 13, val = 1c000490
[0000004238ns] mycpu : pc = 1c0000d4, inst = 2980118d, reg = 00, val = 00001504
[0000004246ns] mycpu : pc = 1c0000d8, inst = 1dc8006d, reg = 13, val = 000030d8
[0000004284ns] mycpu : pc = 1c0000dc, inst = 28ab51ad, reg = 13, val = 1c0004a0
[0000004288ns] mycpu : pc = 1c0000e0, inst = 2980218d, reg = 00, val = 00001508
[0000004298ns] mycpu : pc = 1c0000e4, inst = 1dc8006d, reg = 13, val = 000030e4
[0000004332ns] mycpu : pc = 1c0000e8, inst = 28ab31ad, reg = 13, val = 1c0004b0
[0000004336ns] mycpu : pc = 1c0000ec, inst = 2980318d, reg = 00, val = 0000150c
[0000004352ns] mycpu : pc = 1c0000f0, inst = 0380200c, reg = 12, val = 00000008
[0000004370ns] mycpu : pc = 1c0000f4, inst = 0380600d, reg = 13, val = 00000018
[0000004384ns] mycpu : pc = 1c0000f8, inst = 040001ac, reg = 12, val = 00000008
[0000004414ns] mycpu : pc = 1c0000fc, inst = 04060020, reg = 00, val = 00000000
[0000004448ns] mycpu : pc = 1c000100, inst = 04060420, reg = 00, val = 00000000
[0000004486ns] mycpu : pc = 1c000104, inst = 0380640c, reg = 12, val = 00000019
[0000004500ns] mycpu : pc = 1c000108, inst = 0406002c, reg = 12, val = 00000000
[0000004528ns] mycpu : pc = 1c00010c, inst = 1554000c, reg = 12, val = aa000000
[0000004542ns] mycpu : pc = 1c000110, inst = 0380258c, reg = 12, val = aa000009
[0000004554ns] mycpu : pc = 1c000114, inst = 0406042c, reg = 12, val = 00000000
[0000004588ns] mycpu : pc = 1c000118, inst = 0380400c, reg = 12, val = 00000010
[0000004600ns] mycpu : pc = 1c00011c, inst = 0380600d, reg = 13, val = 00000018
[0000004618ns] mycpu : pc = 1c000120, inst = 040001ac, reg = 12, val = 00000008
[0000004650ns] mycpu : pc = 1c000124, inst = 1dc80064, reg = 04, val = 00003124
[0000004678ns] mycpu : pc = 1c000128, inst = 28aa4084, reg = 04, val = 00001a00
[0000004680ns] mycpu : pc = 1c00012c, inst = 54068400, reg = 01, val = 1c000130
[0000004712ns] mycpu : pc = 1c0007b0, inst = 02bfc063, reg = 03, val = 00202ca0
[0000004730ns] mycpu : pc = 1c0007b4, inst = 29802076, reg = 00, val = 00202ca8
